symbol,name,cap,close,score
IPCALAB,Ipca Laboratories Ltd.,Midcap,1701.0,6
IXIGO,Le Travenues Technology Limited,Microcap,196.65,6
IZMO,IZMO Limited,Microcap,1019.65,6
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Microcap,238.1,6
JAYBARMARU,Jay Bharat Maruti Ltd.,Microcap,171.1,6
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Lt,Smallcap,2295.9,6
JBMA,JBM Auto Limited,Smallcap,697.75,6
JGCHEM,J.G.Chemicals Limited,Microcap,425.85,6
JINDALPHOT,Jindal Photo Limited,Microcap,1210.8,6
JINDALSAW,Jindal Saw Ltd.,Smallcap,261.49,6
JLHL,Jupiter Life Line Hospitals Limited,Microcap,1420.9,6
JNKINDIA,JNK India Limited,Microcap,504.65,6
JPOLYINVST,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,Microcap,1126.2,6
JSFB,JANA SMALL FINANCE BANK LIMITED,Microcap,468.75,6
JSWCEMENT,JSW CEMENT LIMITED,Smallcap,134.92,6
JSWENERGY,JSW Energy Limited,Midcap,583.15,6
JTLIND,JTL INDUSTRIES LIMITED,Microcap,79.59,6
JUBLCPL,Jubilant Agri and Consumer Products Limited,Microcap,2032.0,6
KAJARIACER,Kajaria Ceramics Ltd,Smallcap,1210.4,6
KAMDHENU,Kamdhenu Limited,Microcap,29.96,6
KAPSTON,Kapston Services Ltd.,Microcap,368.55,6
KARURVYSYA,Karur Vysya Bank Ltd.,Smallcap,296.1,6
KDDL,KDDL Ltd,Microcap,3222.0,6
KEI,KEI Industries Ltd.,Midcap,5427.5,6
KERNEX,Kernex Microsystems (India) Ltd.,Microcap,2159.9,6
KILITCH,Kilitch Drugs (I) Ltd.,Microcap,194.73,6
KIMS,Krishna Institute of Medical Sciences Limited,Smallcap,814.6,6
KINGFA,Kingfa Science & Technology (India) Ltd,Microcap,5162.5,6
KIRLOSBROS,Kirloskar Brothers Ltd.,Smallcap,2053.4,6
KIRLPNU,Kirloskar Pneumatic Co.Ltd.,Microcap,1953.0,6
KMEW,Knowledge Marine & Engineering Works Limited,Microcap,2291.9,6
KPRMILL,K.P.R. Mill Ltd.,Midcap,1177.3,6
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,Microcap,1252.6,6
KSB,KSB LIMITED,Smallcap,958.75,6
