week_ending,sym,close,score,qual
2026-02-20,MEDANTA,1130.0,0,False
2026-02-27,MEDANTA,1138.8,0,False
2026-03-06,MEDANTA,1110.1,0,False
2026-03-13,MEDANTA,1072.1,0,False
2026-03-20,MEDANTA,1005.7,0,False
2026-03-27,MEDANTA,985.3,0,False
2026-04-03,MEDANTA,1000.4,1,False
2026-04-10,MEDANTA,1066.15,3,False
2026-04-17,MEDANTA,1089.4,4,False
2026-04-24,MEDANTA,1105.55,4,False
2026-05-01,MEDANTA,1117.25,3,False
2026-05-08,MEDANTA,1200.6,6,True
2026-05-15,MEDANTA,1242.5,6,True
2026-05-22,MEDANTA,1238.1,6,True
2026-05-29,MEDANTA,1189.0,3,True
2026-06-05,MEDANTA,1240.0,6,True
2026-06-12,MEDANTA,1235.1,6,True
2026-06-19,MEDANTA,1265.8,6,True
2026-06-26,MEDANTA,1312.4,6,True
2026-07-03,MEDANTA,1350.7,6,True
2026-07-10,MEDANTA,1336.9,6,True
2026-07-17,MEDANTA,1316.9,4,True
2026-07-24,MEDANTA,1371.0,6,True
2026-07-31,MEDANTA,1405.6,6,True
2026-08-07,MEDANTA,1455.6,6,True
2026-08-14,MEDANTA,1422.6,4,True
2026-08-21,MEDANTA,1409.7,3,True
2024-07-05,MEDIASSIST,541.05,3,True
2024-07-12,MEDIASSIST,552.95,6,True
2024-07-19,MEDIASSIST,558.0,6,True
2024-07-26,MEDIASSIST,580.55,6,True
2024-08-02,MEDIASSIST,582.65,5,True
2024-08-09,MEDIASSIST,529.4,1,False
2024-08-16,MEDIASSIST,559.85,6,True
2024-08-23,MEDIASSIST,570.0,6,True
2024-08-30,MEDIASSIST,590.05,6,True
2024-09-06,MEDIASSIST,644.95,6,True
2024-09-13,MEDIASSIST,655.7,5,True
2024-09-20,MEDIASSIST,683.3,6,True
2024-09-27,MEDIASSIST,640.9,3,True
2024-10-04,MEDIASSIST,637.6,3,True
2024-10-11,MEDIASSIST,668.25,6,True
2024-10-18,MEDIASSIST,640.65,3,True
2024-10-25,MEDIASSIST,599.5,2,True
2024-11-01,MEDIASSIST,624.2,2,True
2024-11-08,MEDIASSIST,619.25,2,True
2024-11-15,MEDIASSIST,589.6,1,False
2024-11-22,MEDIASSIST,560.8,0,False
2024-11-29,MEDIASSIST,595.95,4,False
2024-12-06,MEDIASSIST,601.65,5,True
